"","Estado","N","Volumen","Porcentaje"
"1","GUANAJUATO",19,185504.98,45.25
"2","MICHOACAN",21,126026.58,30.74
"3","JALISCO",11,98331,23.99
"4","QUINTANA ROO",2,53.61,0.01
