"","Estado","N","Volumen","Porcentaje"
"1","JALISCO",47,417729.8,52.12
"2","MICHOACAN",31,286298.76,35.72
"3","GUANAJUATO",16,96916.3,12.09
"4","MORELOS",1,600,0.07
